id,name,zipcode,address,lat,lon,future
01,南港站,11568,台北市南港區南港路一段313號,25.052116,121.606686,1
02,台北站,10041,台北市中正區北平西路3號,25.047924,121.517081,
03,板橋站,22041,新北市板橋區縣民大道二段7號,25.014051,121.463815,
04,桃園站,32056,桃園縣中壢市高鐵北路一段6號,25.013093,121.215217,
05,新竹站,30273,新竹縣竹北市高鐵七路6號,24.80806,121.040415,
06,苗栗站,,,,,1
07,台中站,41456,台中市烏日區站區二路8號,24.112143,120.616152,
08,雲林站,,,,,1
09,嘉義站,61241,嘉義縣太保市高鐵西路168號,23.459565,120.32332,
10,台南站,71151,台南市歸仁區歸仁大道100號,22.924928,120.28572,
11,左營站,81361,高雄市左營區高鐵路105號,22.686927,120.307827,
